"filename", "language", "Markdown", "PHP", "HTML", "JSON", "XML", "JavaScript", "CSS", "SCSS", "YAML", "comment", "blank", "total"
"/Users/macbook/fsadalab/config/app.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 0, 120, 32, 236
"/Users/macbook/fsadalab/config/auth.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 70, 15, 118
"/Users/macbook/fsadalab/config/broadcasting.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 22, 13, 65
"/Users/macbook/fsadalab/config/cache.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 0, 34, 18, 105
"/Users/macbook/fsadalab/config/cors.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"/Users/macbook/fsadalab/config/database.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 45, 22, 148
"/Users/macbook/fsadalab/config/filesystems.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 42, 15, 86
"/Users/macbook/fsadalab/config/hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"/Users/macbook/fsadalab/config/logging.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 0, 0, 24, 17, 105
"/Users/macbook/fsadalab/config/mail.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 47, 18, 111
"/Users/macbook/fsadalab/config/permission.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 81, 37, 144
"/Users/macbook/fsadalab/config/queue.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 32, 15, 90
"/Users/macbook/fsadalab/config/services.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"/Users/macbook/fsadalab/config/session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"/Users/macbook/fsadalab/config/view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"/Users/macbook/fsadalab/database/factories/UserFactory.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 5, 34
"/Users/macbook/fsadalab/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 6, 43
"/Users/macbook/fsadalab/database/migrations/2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"/Users/macbook/fsadalab/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"/Users/macbook/fsadalab/database/migrations/2020_11_28_232212_create_permission_tables.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 22, 111
"/Users/macbook/fsadalab/database/migrations/2020_11_29_172515_create_companies_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 6, 40
"/Users/macbook/fsadalab/database/migrations/2020_12_01_165653_create_farms_table.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 4, 41
"/Users/macbook/fsadalab/database/migrations/2020_12_03_053024_create_terrains_table.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 5, 42
"/Users/macbook/fsadalab/database/migrations/2020_12_03_074901_create_plants_table.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 26, 9, 71
"/Users/macbook/fsadalab/database/migrations/2020_12_03_074943_create_crops_table.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 15, 12, 59
"/Users/macbook/fsadalab/database/migrations/2020_12_03_082725_create_plant_types_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 6, 38
"/Users/macbook/fsadalab/database/migrations/2020_12_03_143406_create_plagues_table.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 23, 8, 64
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144010_create_plague_types_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 6, 38
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144111_create_plague_spots_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 6, 40
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144155_create_products_table.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 25, 76
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144223_create_product_types_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 8, 40
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144340_create_soil_types_table.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 13, 5, 46
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144444_create_plant_stages_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 11, 11, 46
"/Users/macbook/fsadalab/database/migrations/2020_12_03_144916_create_product_compositions_table.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 12, 26, 75
"/Users/macbook/fsadalab/database/migrations/2020_12_03_145111_create_analyse_waters_table.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 10, 11, 67
"/Users/macbook/fsadalab/database/migrations/2020_12_03_145225_create_analyse_soils_table.php", "PHP", 0, 80, 0, 0, 0, 0, 0, 0, 0, 11, 39, 130
